"","text","created"
"1","coronavirus italy in lockdown 
also italians","2020-03-15 23:59:59"
"2","review the below and visitfor information on steps that every american and community can take to","2020-03-15 23:59:59"
"3","our country is facing a medical and economic crisis the likes of which weve not seen in generations

our response must","2020-03-15 23:59:59"
"4","heres the other virus raging beneath the radar while the coronavirus gets all the attention the pandemic of stupidit","2020-03-15 23:59:59"
"5","protect ya neck against the coronavirus we are making a few thousand prints and distributing them across new york city fe","2020-03-15 23:59:59"
"6","i can tell you as someone who has been diagnosed with incurable stagembc in nov ofprayer helps god is good t","2020-03-15 23:59:59"
"7","china has closed down its last coronavirus hospital
not enough new cases to suppo them

 indian doctors successful i","2020-03-15 23:59:59"
"8","coronavirus latest 

 us death toll reaches 
 fed lowers interest rates to near zero
 new york ci","2020-03-15 23:59:59"
"9","trump denied the available who coronavirus test kit
 the week delay cost american lives
 after this delay os","2020-03-15 23:59:59"
"10","new the cdc has updated its coronavirus guidelines highlights
no gatherings ofpeople for at leastweeks
no large","2020-03-15 23:59:59"
"11","grandma charlotte what did you during the coronavirus epidemic

i stayed the fuck home ate junk food and watched bad t","2020-03-15 23:59:59"
"12","nobody is allowed to go outside in spain due to the coronavirus crisis 

but in order to keep people moving this spos i","2020-03-15 23:59:59"
"13","nashville is trying to solve a problem with no real blueprint how do you encourage visitation after a natural disa","2020-03-15 23:59:59"
"14","i dont trust trump or his sycophants trump had been paying it up at maralagoat all these places w people who","2020-03-15 23:59:59"
"15","coronavirus screening at us airpos causes hour wait in crowded lines","2020-03-15 23:59:59"
"16","cdc website link","2020-03-15 23:59:59"
"17","during the california fires i fell into the habit of spreading positive information regarding those in need many of my","2020-03-15 23:59:59"
"18","trump tried to poach german scientists working on a cure for coronavirus and offered cash so the vaccine would be excl","2020-03-15 23:59:59"
"19","the german health ministry confirmed a repo that trump offered large sums of money to the german pharmaceutical company","2020-03-15 23:59:59"
"20","due to coronavirus my summer body will be postponed untilthank you for understanding","2020-03-15 23:59:59"
"21","after disastrous communications during theanthrax attacks the cdc wrote a page manual for how to communicate dur","2020-03-15 23:59:59"
"22","all the toilet paper yall are buying protecting you from the coronavirus","2020-03-15 23:59:59"
"23","couple decide to recreate their canceled cruise coronavirus","2020-03-15 23:59:59"
"24","during the california fires i fell into the habit of spreading positive information regarding those in need many of my","2020-03-15 23:59:59"
"25","me when i get coronavirus","2020-03-15 23:59:59"
"26","what fuckin virus

the coronavirus christopher the fuckin coronavirus

hooo no more coronas the fuck are you talk","2020-03-15 23:59:59"
"27","breaking governor baker takes unprecedented steps to prevent the spread of the coronavirushe has amended theban o","2020-03-15 23:59:59"
"28","me laughing at coronavirus memes vs me finding out euphorias s production is postponing because of the virus","2020-03-15 23:59:59"
"29","one day coronavirus death toll
italy 
spain 
france","2020-03-15 23:59:59"
"30","breaking the cdc is recommending gatherings ofor more people over the nextweeks be postponed or cancelled","2020-03-15 23:59:59"
"31","i will get in trouble for this 

calling the coronavirus the china virus is not racist

it came from china not from c","2020-03-15 23:59:59"
"32","johns hopkins and gates foundation hosted coronavirus pandemic simulation last october

eventsimulated a global pande","2020-03-15 23:59:59"
"33","breaking cdc recommends the cancellation or postponement of all events withpeople or more for the nextweeks","2020-03-15 23:59:59"
"34","las vegas closures wynn resos closing its vegas casinos for at least two weeks amid coronavirus pandemic","2020-03-15 23:59:59"
"35","this story may gain more credence in the future","2020-03-15 23:59:59"
"36","to debate tonight at cnns studio in washington dc

with no audience due to the coronavirus","2020-03-15 23:59:59"
"37","president trump says the coronavirus is something that we have total control over 

completely and utterly false

the p","2020-03-15 23:59:59"
"38","tested negative for coronavirus goin boozer to cellarbrate cheers","2020-03-15 23:59:59"
"39","ohio closes restaurants and bars over coronavirus as new york official calls for similar shutdown","2020-03-15 23:59:59"
"40","due to coronavirus my summer body will be postponed untilthank you for understanding","2020-03-15 23:59:59"
"41","its just a matter of time the growth rate of covid is really very high 
lockdown india asap
saarc","2020-03-15 23:59:59"
"42","coronavirus 
never heard of it","2020-03-15 23:59:59"
"43","wow 

i have no words 

prominent german newspaper welt am sonntag repoed that trump had offered large sums of money to","2020-03-15 23:59:59"
"44","due to coronavirus my summer body will be postponed untilthank you for understanding","2020-03-15 23:59:59"
"45","remotework in coronavirus time","2020-03-15 23:59:59"
"46","protect ya neck against the coronavirus we are making a few thousand prints and distributing them across new york city fe","2020-03-15 23:59:59"
"47","breaking first dose for possible coronavirus vaccine to be trialled tomorrow in the united states","2020-03-15 23:59:59"
"48","stock futures plunged sunday afternoon minutes after trump announced that the federal reserve emba","2020-03-15 23:59:59"
"49","these folks may not have to wait for the rapture to see god","2020-03-15 23:59:59"
"50","an emergency room doctor at evergreenhealth the hospital thats been treating lots of the patients in the washington outbreak","2020-03-15 23:59:59"
"51","do your patriotic duty
 stay home
 clean hands frequently w alcoholbased hand rub or soapwater
 cover nose","2020-03-15 23:59:59"
"52","remember back on janwhen lockdown of wuhan was announced china only hadconfirmed deaths

they may well have underrep","2020-03-15 23:59:59"
"53","of americans say that they trust donald trump to handle the coronavirus crisis

he literally called the coronaviru","2020-03-15 23:59:59"
"54","ufeufeufeufeufeufe its a given the trumpkushner families are somehow making money off this cris","2020-03-15 23:59:59"
"55","simpsons writer says it is gross to see his classic episode fromyears ago perveed by trolls during the coronavirus outbr","2020-03-15 23:59:59"
"56","even as supply chains face disruption in the near term from the coronavirus disease covid in the longer term","2020-03-15 23:59:59"
"57","what this administration has done with coronavirus information dissemination has been an epic failure

uaaufef confusing in","2020-03-15 23:59:59"
"58","coronavirus can","2020-03-15 23:59:59"
"59","this

by now most people have accepted that coronavirus is going to put considerable pressure on our nhs yet as an nhs do","2020-03-15 23:59:59"
"60","the german health ministry confirmed a repo that trump offered large sums of money to the german pharmaceutical company","2020-03-15 23:59:59"
"61","given the fact that the health response to coronavirus is changing so rapidly im a bit bemused by the opinion tha","2020-03-15 23:59:59"
"62","breaking thehas cut interestrates to zero percent and will purchasebillion in bonds and securities to","2020-03-15 23:59:59"
"63","thank god for our nurses doctors and all first responders on the front line of nys fight against coronavirus we owe the","2020-03-15 23:59:59"
"64","thank god for our nurses doctors and all first responders on the front line of nys fight against coronavirus we owe the","2020-03-15 23:59:59"
"65","germany confirms that trump tried to buy firm working on coronavirus vaccineamericansociopath","2020-03-15 23:59:59"
"66","in the latest stunning us government failure to protect its citizens against covid officials allowed thousands of people t","2020-03-15 23:59:59"
"67","we ceainly cant count on that being his policy given that he tabled measures proposed by sens sanders and we","2020-03-15 23:59:59"
"68","please do not spread coronavirus by gathering in large groups

college kids","2020-03-15 23:59:59"
"69","trump denied the available who coronavirus test kit
 the week delay cost american lives
 after this delay os","2020-03-15 23:59:59"
"70","dhs chief calls coronavirus screening delays in chicago unacceptable","2020-03-15 23:59:59"
"71","okay this made me cry hard shaktoolik closed their village to mushers out of concern for coronavirus which would lea","2020-03-15 23:59:59"
"72","this coronavirus is slowly going to get worse people panicking everywhere and shops closing for weeks i feel bad","2020-03-15 23:59:59"
"73","the media are batsht crazy

the media are addicted to opposing trumpcoronavirus trump is their crack their next","2020-03-15 23:59:59"
