"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @charliekirk11: Houston Mayor Sylvester Turner:

“Until the Coronavirus is resolved, criminals, take a break. Crooks, criminals—chill. W…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419940610049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sean61987",3909,TRUE,FALSE,NA,NA
"2","RT @JayaTvOfficial: Stylish star @alluarjun donates 20 Lakhs to #CoronaCrisisCharity fund set up by Telugu film industry in the aid of dail…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419768463361",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aa_vny",62,TRUE,FALSE,NA,NA
"3","RT @CNN: Portugal has temporarily given all migrants and asylum seekers full citizenship rights, granting them full access to the country's…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419755843585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrauWise",4447,TRUE,FALSE,NA,NA
"4","RT @aaronlmorrison: An @AP SCOOP from me: In a letter to @HHSGov, Democratic lawmakers call for the collection of racial data in coronaviru…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419693035527",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tay_Griffin14",359,TRUE,FALSE,NA,NA
"5","RT @MedCramVideos: Coronavirus Pandemic Update 46 with Roger Seheult, MD: 
Can Hot/Cold TherapyBoost Immunity &amp; Prevent Infection?
More on…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419550347264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mattlarsen2",31,TRUE,FALSE,NA,NA
"6","RT @AndyBiotech: #COVID19 This is probably the best scientific explainer I have seen on why we should all wear masks against #coronavirus
h…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419324026882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imanxh",8801,TRUE,FALSE,NA,NA
"7","RT @PennyRed: For years, angry young idiots have fantasised about a shit-hits-the-fan collapse of civilisation scenario, where men would be…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419177254913",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BG45_Pho",3519,TRUE,FALSE,NA,NA
"8","Model cited by White House says 82,000 people could die from coronavirus by August, even with social distancing

https://t.co/1catYIXeQL",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776419173040129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LisaMic57621304",0,FALSE,FALSE,NA,NA
"9","RT @IGN: Disney executive chairman Bob Iger will forego his entire salary while other top executives will take major pay cuts to help pay e…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418988310528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spennington33",2991,TRUE,FALSE,NA,NA
"10","RT @charliekirk11: RT if Andrew Cuomo should be removed from office for releasing child rapists from prison because he’s afraid they will g…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418950643712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elder1213",25993,TRUE,FALSE,NA,NA
"11","RT @JoeBiden: This is unconscionable. Americans are already afraid of the impact the deadly COVID-19 pandemic is having on their lives — th…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418942148608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","azphilosopher01",11885,TRUE,FALSE,NA,NA
"12","RT @gatewaypundit: LEAKED AUDIO==&gt; Kennedy Center President Deployed Lobbyist to Secure $25 Million in Coronavirus Stimulus, But Not a Cent…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418913005577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DebbiePonticel2",1112,TRUE,FALSE,NA,NA
"13","RT @Yamiche: President Trump, answering a question from @Acosta, just defended saying a month ago that a “miracle” would take away the coro…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418833313792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PSTEW46",3754,TRUE,FALSE,NA,NA
"14","@GovParsonMO @kcmo @JacksonCountyMO Where are the tests? #StayAtHomeAndStaySafe https://t.co/fU0wLhHPqb",FALSE,0,"GovParsonMO",2020-03-30 23:59:59,FALSE,NA,"1244776418690695168","1003672320781807616","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FranticAntics",0,FALSE,FALSE,NA,NA
"15","RT @stephanie_murr: SCOOP: The Massachusetts Democratic Party will vote to cancel its May 30 convention on Saturday due to the coronavirus…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418673901574",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohnHendel",522,TRUE,FALSE,NA,NA
"16","RT @cnni: Portugal has temporarily given all migrants and asylum seekers full citizenship rights, granting them full access to the country'…",FALSE,0,NA,2020-03-30 23:59:59,FALSE,NA,"1244776418585632768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blinktubey",2072,TRUE,FALSE,NA,NA
